"","track_album_name","track_name","track_artist","track_popularity"
"1","RITMO (Bad Boys For Life)","RITMO (Bad Boys For Life)","The Black Eyed Peas",96
"2","Lose Control","Lose Control","MEDUZA",91
"3","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","bad guy","Billie Eilish",95
"4","Ride It","Ride It","Regard",94
"5","Tusa","Tusa","KAROL G",98
"6","everything i wanted","everything i wanted","Billie Eilish",97
"7","Yummy","Yummy","Justin Bieber",95
"8","Que Tire Pa Lante","Que Tire Pa Lante","Daddy Yankee",90
"9","China","China","Anuel AA",93
"10","Adicto (with Anuel AA & Ozuna)","Adicto (with Anuel AA & Ozuna)","Tainy",90
"11","Señorita","Señorita","Shawn Mendes",93
"12","Memories","Memories","Maroon 5",98
"13","Blinding Lights","Blinding Lights","The Weeknd",98
"14","Divinely Uninspired To A Hellish Extent","Someone You Loved","Lewis Capaldi",94
"15","Bandit (with YoungBoy Never Broke Again)","Bandit (with YoungBoy Never Broke Again)","Juice WRLD",92
"16","OASIS","LA CANCIÓN","J Balvin",91
"17","Heartless","Heartless","The Weeknd",93
"18","Lose You To Love Me","Lose You To Love Me","Selena Gomez",93
"19","Before You Go","Before You Go","Lewis Capaldi",90
"20","The Kids Are Coming","Dance Monkey","Tones and I",92
"21","Adore You","Adore You","Harry Styles",91
"22","Lose You To Love Me","Lose You To Love Me","Selena Gomez",93
"23","Memories","Memories","Maroon 5",98
"24","Hollywood's Bleeding","Circles","Post Malone",98
"25","Don't Start Now","Don't Start Now","Dua Lipa",97
"26","HIGHEST IN THE ROOM","HIGHEST IN THE ROOM","Travis Scott",94
"27","Divinely Uninspired To A Hellish Extent","Someone You Loved","Lewis Capaldi",94
"28","hot girl bummer","hot girl bummer","blackbear",94
"29","RITMO (Bad Boys For Life)","RITMO (Bad Boys For Life)","The Black Eyed Peas",96
"30","10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)","Dan + Shay",91
"31","Ride It","Ride It","Regard",94
"32","How Do You Sleep?","How Do You Sleep?","Sam Smith",91
"33","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","bad guy","Billie Eilish",95
"34","Bandit (with YoungBoy Never Broke Again)","Bandit (with YoungBoy Never Broke Again)","Juice WRLD",92
"35","China","China","Anuel AA",93
"36","Trampoline (with ZAYN)","Trampoline (with ZAYN)","SHAED",90
"37","No.6 Collaborations Project","South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",91
"38","Lalala","Lalala","Y2K",91
